Model,Type,Element,a_EOS_A,a_DFT_A,Err_DFT_pct,E_rlx_eV,MeanMaxF_eV_A,StdMaxF_eV_A
MACE-MP-0,MLIP,Si,5.4563,5.469,0.23,-5.3420,1.7246,1.9177
MACE-MP-0,MLIP,Ge,5.7701,5.763,0.12,-4.5258,1.0900,1.2928
CHGNet,MLIP,Si,5.4742,5.469,0.09,-5.3138,1.8311,2.3206
CHGNet,MLIP,Ge,5.7677,5.763,0.08,-4.4567,1.4050,1.7348
DPA-3 (SemiCond),MLIP,Si,5.4836,5.469,0.27,-107.2093,2.2938,2.0228
DPA-3 (SemiCond),MLIP,Ge,5.7784,5.763,0.27,-107.0985,1.9724,1.6897
DeepMD (fine-tuned),MLIP,Si,5.3225,5.469,2.68,-5.3495,1.6935,1.9251
DeepMD (fine-tuned),MLIP,Ge,5.6708,5.763,1.60,-4.5883,1.1216,1.2212
Tersoff,Classical,Si,5.4313,5.469,0.69,-4.6304,3.4061,5.2444
Tersoff,Classical,Ge,5.6569,5.763,1.84,-3.8506,3.1551,3.5266
Stillinger-Weber,Classical,Si,5.4309,5.469,0.70,-4.3366,3.3542,2.9686
Stillinger-Weber,Classical,Ge,5.6535,5.763,1.90,-3.8600,3.0202,2.5295
